absolute,absolutely
ĝoji,to rejoice
ĝusta,correct
ĝusta,exact
ha,ah
halti,to stop
haro,hair (singular)
haro,hair
hararo,hair
haste,hastily
haste,hurriedly
haŭto,skin
haŭto,flesh
havi,to have
havigi,to get
havigi,to procure
havebla,available
hejmo,home
hela,bright
hela,clear
helpi,to help
hieraŭ,yesterday
hinda,Indian
Hindio,India
Hindujo,India
hispana,Spanish
Hispanio,Spain
Hispanujo,Spain
historio,history
ho,oh
ho ve,oh dear
ho ve,alas
hodiaŭ,today
homo,person
homo,human
horo,hour
hundo,dog
hurai,to cheer
ĥina,Chinese
ĥinio,China
ĥinujo,China
ia,some kind of
ial,for some reason
iam,at some time
iam,ever
iam,sometime
ideo,idea
idioto,idiot
ido,child
ido,offspring
ie,anywhere
ie,somewhere
iel,anyway
iel,somehow
ien,somewhere
ien,to some place
ies,someone's
igi,to cause
igi,to get
igi,to make
iĝi,to become
iĝi,to get
iĝi,to grow
ili,they
ilo,tool
ilo,means
imagi,to imagine
ina,female
ina,feminine
infano,child
informi,to inform
informiĝi,to be advised
informiĝi,to be informed
informiĝi,to find out
insekto,insect
instrui,to teach
insulo,island
insulta,insulting
insulta,offensive
inter,between
inter,among
intereso,interest
interesi,to interest
interesi,to be interesting to
interesiĝi,to be interested
interesiĝi,to take an interest
interna,internal
interna,inside
iom,a little
iom,rather
iom,some
iom,somewhat
iom,to some extent
iom post iom,gradually
iom post iom,little by little
iri,to go
iu,a
iu,any
iu,anybody
iu,some
iu,somebody
iu,one
iu,someone
iu,some one
iu ajn,any
iuj,a few
iuj,some
ja,indeed
jam,already
januaro,January
Japanlando,Japan
Japanio,Japan
japana,Japanese
Japanujo,Japan
jaro,year
je,as regards
je,in relation to
jen,here is
jen,here are
jes,yes
julio,July
juna,young
junio,June
justa,just
justa,fair
ĵaluza,jealous
ĵaŭdo,Thursday
ĵeti,to throw
ĵurnalo,newspaper
ĵus,just
jus,just now
kafo,coffee
kaj,and
kalkuli,to calculate
kalkulim,to count
kampo,field
kampo,area
kanti,to sing
kapo,head
kapti,to catch
kara,dear
kara,expensive
kara,lovely
kara,valuable
kaŝi,to hide
kato,cat
kaŭzo,cause
ke,that
kelka,some
kia,what kind of
kia,what sort of
kial,what for
kial,why
kiam,when
kie,where
kiel,as
kiel,how
kiel,like
kies,of which
kies,which one's
kies,whose
kio,what
kio,which
kiom,how many
kiom,how much
kisi,kiss
kiu,that
kiu,which
kiu,which one
kiu,who
klara,clear
klubo,club
klubo,group
knabo,boy
kolekti,to collect
koleri,to be angry
koleriĝi,to get angry
kolerigi,to make angry
kolo,neck
koloro,color
komenci,to begin
komerci,to trade
komerci,to do business
komforta,comfortable
kompreni,to understand
kompreni,to realise
kompreni,to realize
komuna,common
komuna,general
komuniki,to communicate
koni,to know
konduki,to lead
kongreso,congress
kongreso,convention
konsenti,to agree
konsili,to advise
konstrui,to build
kontenta,satisfied
kontenta,content
kontraŭ,across from
kontraŭ,against
kontraŭ,in exchange for
kontraŭ,opposed to
kontraŭ,opposite
kontraŭ,upon
korespondi,to correspond
korespondi,to exchange letters
koro,heart
korpo,body
korto,yard
korto,courtyard
kosti,to cost
koverto,envelope
kovri,to cover
kredi,to believe
kreski,to grow
krii,to yell
kriito,cry out
krom,apart from
krom,besides
krom,except
krom,except for
ksilofono,xylophone
ktp,et cetera
ktp,etc
ktp,and so on
kuiri,to cook
kuko,cake
kun,with
kunuzi,to share
kuraĝa,brave
kuraĝa,courageous
kuri,to run
kurso,course
kurso,series of lessons
kuŝi,to lie down
kutimo,custom
kutimo,habit
kvankam,although
kvar,four
kvazaŭ,as if
kvazaŭ,as though
kvieta,quiet
kvin,five
la,the
labori,to work
laca,tired
lakto,milk
lando,country
lando,land
larĝa,wide
lasi,to leave
lasi,to allow
lasta,last
laŭ,according to
laŭ,along
lavi,to wash
leciono,lesson
legi,to read
lerni,to learn
letero,letter
levi,to lift
li,he
libera,free
libera,independent
libro,book
ligo,league
ligo,alliance
ligi,to tie
ligi,to bind
ligno,wood
lingvo,language
linio,line
lito,bed
loĝi,to live
loĝi,to inhabit
loko,place
loko,position
longa,long
ludi,to play
ludo,game
lumi,to shine
lumi,to give light
lundo,Monday
majo,May
mano,hand
manĝi,to eat
manki,to be lacking
manki,to be absent
maro,sea
maro,ocean
mardo,Tuesday
marko,sign
marko,mark
marto,March
mateno,morning
matenmanĝo,breakfast
mem,self
mem,selves
membro,member
memori,to remember
merkredo,Wednesday
meti,to put
meti,to place
mezo,middle
mezuri,to measure
mi,I
mi,me
mil,thousand
militi,to wage war
minuto,minute
miri,to marvel
miri,to be amazed
mirinda,wonderful
misuzi,to misuse
momento,moment
mono,money
monato,month
mondo,world
monto,mountain
montri,to show
morgaŭ,tomorrow
morti,to die
movi,to move
multa,much
multa,a lot of
muro,wall
nacio,nation
naĝi,to swim
naski,to give birth
naturo,nature
naŭ,nine
nazo,nose
ne,no
ne,not
necesa,necessary
neĝo,snow
nek,nor
nek,neither
nestabila,unstable
ni,we
ni,us
nigra,black
nokto,night
nomo,name
nombro,number
nombro,amount
norda,north
nova,new
novembro,November
nu,well
nu,now
nubo,cloud
nul,zero
nun,now
nur,only
ofta,frequent
ofta,common
ok,eight
okazi,to happen
okazi,to occur
oktobro,October
okulo,eye
okupi,to occupy
ol,than
oni,one
oni,people
oni,they
onklo,uncle
opinii,to think
opinii,to have an opinion
ordo,order
ordoni,to order
ordoni,to command
orelo,ear
osto,bone
ovo,egg
paco,peace
pagi,to pay
pano,bread
papero,paper
pardoni,to forgive
pardoni,to excuse
paroli,to speak
parto,part
pasi,to pass
paŝi,to step
paŝi,to pace
patro,father
peco,piece
peco,bit
peni,to try
peni,to endeavour
pensi,to think
per,by
per,with
perdi,to lose
permesi,to allow
permesi,to permit
persono,person
peti,to ask
peti,to request
piedo,foot
pilko,ball
